ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
51,"Moscow, Belgium",Aanrijding in Moscou,1.572904,"‘Moscou’ is a densely populated working class neighbourhood on the outskirts of Ghent, Belgium. Matty, mother of three, bumps her car into a truck on the parking lot of a supermarket. Johnny climbs down from the cabin. He is infuriated by the dent in his front bumper and yells at Matty. Although impressed by the accident, Matty fights back with sharp words. Their discussion turns into a row, and the police have to intervene. Matty goes home, the trunk of her car dancing up and down. Back in her apartment, Matty takes a hot bath to recover from the afternoon’s emotionswhen the phone rings. It’s Johnny, apologizing for his behaviour on the parking lot. Matty tells him to stay out of her life. A dramatic comedy begins about a woman whose soul is full of dents and bruises.","supermarket, midlife crisis, truck, urban, lesbian, working class, cell phone, happiness, truck driver, tarot",Romance,Missing,nl,Nederlands,,Belgium,Christophe Van Rompaey,1/30/08,102,Released,Missing,http://www.moscow-belgium.com/index.php,tt0948530,560000,1500000,2008
52,The Great Race,The Great Race,4.473327,"Professional daredevil and white-suited hero, The Great Leslie, convinces turn-of-the-century auto makers that a race from New York to Paris (westward across America, the Bering Straight and Russia) will help to promote automobile sales. Leslie's arch-rival, the mustached and black-attired Professor Fate vows to beat Leslie to the finish line in a car of Fate's own invention.","slapstick, ensemble cast, automobile racing, cross country race, turn of the century",Adventure,Missing,en,"English, Italiano",Warner Bros.,United States of America,Blake Edwards,7/1/65,160,Released,"The movie with 20,000-mile or one-million-laughs guarantee!",Missing,tt0059243,12000000,25333333,1965
53,The Last Flight of Noah's Ark,The Last Flight of Noah's Ark,1.012665,The only chance to escape a desert island is to convert the plane carrying many different animals into a boat.,"kids and family, aviation, castaway, pacific island, kids",Adventure,Missing,en,English,Walt Disney Productions,United States of America,Charles Jarrott,6/24/80,97,Released,"Lost. 2,000 miles at sea in a 40 year old bomber.",Missing,tt0081031,0,11000000,1980
54,For Keeps,For Keeps,5.410839,"Darcy, editor at her highschool paper, and her long-term boyfriend Stan are in their last months of school and already have found places in good colleges. Recently they started to sleep with each other and, surprise, surprise, Darcy gets pregnant. Neither Darcy's mother, who was left by her husband and had to bring up Darcy alone, nor Stan's catholic parents are very supportive and urge them to h",from backpacks to strollers,Drama,Missing,en,English,TriStar Pictures,United States of America,John G. Avildsen,1/15/88,98,Released,From Backpacks to Strollers,http://www.imdb.com/title/tt0095169/,tt0095169,0,17514553,1988
55,Risen,Risen,8.759801,"Follows the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius, a powerful Roman Military Tribune, and his aide Lucius, are tasked with solving the mystery of what happened to Jesus in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem.","christianity, jesus christ, apostle, crucifixion, jerusalem, ancient rome, faith, resurrection, dead body, judaism, religious, tomb",Action,Missing,en,English,"Columbia Pictures, Affirm Films, LD Entertainment, Patrick Aiello Productions",United States of America,Kevin Reynolds,2/19/16,107,Released,Witness the manhunt that changed the course of human history,Missing,tt3231054,20000000,46069568,2016
56,Son in Law,Son in Law,9.122718,"Country girl Rebecca has spent most of her life on a farm in South Dakota, and, when she goes away to college in Los Angeles, Rebecca immediately feels out of place in the daunting urban setting. She is befriended by a savvy party animal named Crawl, who convinces the ambivalent Rebecca to stay in the city. When Thanksgiving break rolls around, Rebecca, no longer an innocent farm girl, invites Crawl back to South Dakota, where he pretends to be her fiancé.","college, thanksgiving, farm, liar, pancreas, thong, city boy",Comedy,Missing,en,English,Hollywood Pictures,United States of America,Steve Rash,7/2/93,95,Released,He's a relative nightmare.,Missing,tt0108186,0,36448200,1993
57,Queen to Play,Joueuse,2.94798,"In a small Corsican village, the life of Hélène, ordinary and single, She works as a maid in a hotel and is married happily with her Husband Ange and her fifteen year-old daughter. Her modest and monotonous life seems to be predetermined... One day while cleaning a hotel room, she meets a young, seductive, American couple which is playing a game of chess. First fascinated and then passionate about the game, Hélène learns with great tenacity she studies the rule of the game to perfection. She can count on Dr. Kröger, who is a mysterious inhabitant, to help her to achieve her goals. But this positive transition towards a liberty for Hélène does not go about without deeply changing her relationship with family, friends and inhabitants of the village.","chess, bicycle, woman director",Comedy,Missing,fr,"English, Français",Mon Voisin Productions,"France, Germany",Caroline Bottaro,8/5/09,97,Released,Missing,http://www.joueuse-lefilm.com/,tt1082009,0,1056938,2009
58,Batman & Robin,Batman & Robin,17.038824,"Along with crime-fighting partner Robin and new recruit Batgirl, Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice, while Ivy tries to drive a wedge between the dynamic duo.","double life, dc comics, dual identity, crime fighter, fictional place, gotham city, superhero, credit card, super powers",Action,Batman Collection,en,English,"PolyGram Filmed Entertainment, Warner Bros.","United Kingdom, United States of America",Joel Schumacher,6/20/97,125,Released,Strength. Courage. Honor. And loyalty.,Missing,tt0118688,125000000,238207122,1997
59,Were The World Mine,Were The World Mine,1.882446,"If you had a love-potion, who would you make fall madly in love with you? Timothy, prone to escaping his dismal high school reality through dazzling musical daydreams, gets to answer that question in a very real way. After his eccentric teacher casts him as Puck in A Midsummer Night's Dream, he stumbles upon a recipe hidden within the script to create the play's magical, purple love-pansy.","gay, shakespeare, homophobia, musical, high school, independent film, gay relationship, lgbt child, lgbt",Music,Missing,en,English,Speak Productions,United States of America,Tom Gustafson,6/24/08,95,Released,Missing,http://www.weretheworldminefilm.com/,tt0476991,0,119563,2008
60,All About the Benjamins,All About the Benjamins,3.909079,"Bucum Jackson (Cube) is a bounty hunter with a lot of attitude and no interest in taking on a partner. Working at Martinez Bail Bonds, Jackson has unorthodox methods of tracking down low-life criminals, but they work, and one day he hopes to become his own boss and open up his own private investigation firm. Reggie Wright (Epps) is a slippery con artist who is avoiding the law, and Jackson. During a cat and mouse chase, the two stumble on a multi-million dollar diamond heist. Hiding from Jackson, Wright finds himself in the thieves' getaway van and ends up having to escape from them after they discover their booty is fake, much to the displeasure of their ruthless boss (Flanagan). When Wright meets up with his girlfriend (Mendes), he discovers that his recently purchased lottery ticket is the sole winner of $60 million. Unfortunately, his wallet, which held the ticket, was left in the thieves' van, so he persuades Jackson to help him get it back.","record store, sexuality, autograph, underwear, painting, safe, sexual attraction, motorcycle, juvenile delinquent, stoner, music store, hand on crotch, premarital sex, raised middle finger, employer employee relationship, cupcake, twenty something, money bag, sidewalk, storem",Action,Missing,en,"English, Français",New Line Cinema,United States of America,Kevin Bray,3/8/02,95,Released,Money can make people do funny things.,Missing,tt0278295,14000000,25482931,2002
61,Casino Royale,Casino Royale,23.065078,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond – on his maiden mission as a 00 Agent – to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.","italy, poker, casino, terrorist, banker, money, free running, torture, british secret service, montenegro",Adventure,James Bond Collection,en,"English, Français","Eon Productions, Stillking Films, Babelsberg Film","Italy, United Kingdom, United States of America, Czech Republic, Germany",Martin Campbell,11/14/06,144,Released,Everyone has a past. Every legend has a beginning.,http://www.mgm.com/#/our-titles/233/Casino-Royale-(2006),tt0381061,150000000,599045960,2006
62,Trapeze,Trapeze,1.801071,"A pair of men try to perform the dangerous ""triple"" in their trapeze act. Problems arise when the duo is made into a trio following the addition of a sexy female performer.","circus, trapeze artist",Drama,Missing,en,"English, Italiano",Joanna Productions,United States of America,Carol Reed,5/30/56,105,Released,"High...High...High...Above Them All! - in excitement! - in spectacle! - in fire, flesh and fury!",Missing,tt0049875,4000000,14400000,1956
63,Fallen,Fallen,6.381612,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution the killings start again, and they are very similar to Reese's style.","angel, riddle, detective, bible, police, supernatural, psychopath, murder, curse, religion, execution, series of murders, devil, family, evil, neo-noir",Thriller,Missing,en,English,"Atlas Entertainment, Turner Pictures (I)",United States of America,Gregory Hoblit,1/16/98,124,Released,Detective John Hobbes is searching for a criminal he's already met... already caught... and already killed,Missing,tt0119099,0,25232289,1998
64,Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan,7.743144,"The Big Apple's in big trouble, as indestructible psycho-fiend Jason Vorhees hits the road to New York City. After a shocking return from beyond the grave, the diabolical Jason ships out abroad a teen-filled ""love boat"" bound for New York, which he soon transforms into the ultimate voyage of the damned. Then one of his terrified victims escapes into the nightmarish maze of Manhattan's subways and sewers, only to confront Jason one final time.","new york, boat, mask, psychopath, high school, sewerage, times square, serial killer, teenager, jason vorhees",Horror,Friday the 13th Collection,en,English,"Paramount Pictures, Sean S. Cunningham Films, Horror Inc.",United States of America,Rob Hedden,7/28/89,100,Released,The Big Apple's in BIG trouble!,Missing,tt0097388,5000000,14000000,1989
